experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M2,WERM,8.5,17,0.0058823529411764705,ok,2,"690,1189","680,1190"
M2,WERM,8.5,18,0.04588235294117647,ok,2,"680,1112","680,1190"
M2,WERM,8.5,19,0.000588235294117647,ok,2,"679,1189","680,1190"
M2,WERM,8.5,20,0.000588235294117647,ok,2,"679,1190","680,1190"
M2,WERM,8.5,21,0.00823529411764706,ok,2,"678,1176","680,1190"
M2,WERM,8.5,22,0.012941176470588235,ok,2,"679,1168","680,1190"
M2,WERM,8.5,23,0.0058823529411764705,ok,2,"690,1190","680,1190"
M2,WERM,8.5,24,0.008823529411764706,ok,2,"695,1188","680,1190"
M2,WERM,8.5,25,0.03470588235294118,ok,2,"678,1131","680,1190"
M2,WERM,8.5,26,0.004705882352941176,ok,2,"678,1182","680,1190"
M2,WERM,8.5,27,0.0017647058823529412,ok,2,"677,1189","680,1190"
M2,WERM,8.5,28,0.001176470588235294,ok,2,"680,1188","680,1190"
M2,WERM,8.5,29,0.0017647058823529412,ok,2,"679,1187","680,1190"
M2,WERM,9.5,0,0.0005263157894736842,ok,2,"759,1330","760,1330"
M2,WERM,9.5,1,0.002631578947368421,ok,2,"755,1330","760,1330"
M2,WERM,9.5,2,0.011578947368421053,ok,2,"759,1308","760,1330"
M2,WERM,9.5,3,0.0,ok,2,"760,1330","760,1330"
M2,WERM,9.5,4,0.008947368421052631,ok,2,"758,1313","760,1330"
M2,WERM,9.5,5,0.0005263157894736842,ok,2,"761,1329","760,1330"
M2,WERM,9.5,6,0.0005263157894736842,ok,2,"760,1329","760,1330"
M2,WERM,9.5,7,0.0015789473684210526,ok,2,"757,1330","760,1330"
M2,WERM,9.5,8,0.0015789473684210526,ok,2,"760,1327","760,1330"
M2,WERM,9.5,9,0.007894736842105263,ok,2,"760,1315","760,1330"
M2,WERM,9.5,10,0.0005263157894736842,ok,2,"760,1331","760,1330"
M2,WERM,9.5,11,0.0010526315789473684,ok,2,"761,1332","760,1330"
M2,WERM,9.5,12,0.0015789473684210526,ok,2,"759,1327","760,1330"
M2,WERM,9.5,13,0.00631578947368421,ok,2,"760,1318","760,1330"
M2,WERM,9.5,14,0.05263157894736842,ok,2,"751,1230","760,1330"
M2,WERM,9.5,15,0.0005263157894736842,ok,2,"759,1330","760,1330"
M2,WERM,9.5,16,0.0010526315789473684,ok,2,"762,1332","760,1330"
M2,WERM,9.5,17,0.0005263157894736842,ok,2,"759,1331","760,1330"
M2,WERM,9.5,18,0.0015789473684210526,ok,2,"759,1327","760,1330"
M2,WERM,9.5,19,0.0,ok,2,"760,1330","760,1330"
M2,WERM,9.5,20,0.0010526315789473684,ok,2,"758,1329","760,1330"
M2,WERM,9.5,21,0.02157894736842105,ok,2,"759,1289","760,1330"
M2,WERM,9.5,22,0.013157894736842105,ok,2,"760,1305","760,1330"
M2,WERM,9.5,23,0.0005263157894736842,ok,2,"761,1331","760,1330"
M2,WERM,9.5,24,0.0,ok,2,"760,1330","760,1330"
M2,WERM,9.5,25,0.004736842105263158,ok,2,"756,1321","760,1330"
M2,WERM,9.5,26,0.002105263157894737,ok,2,"764,1329","760,1330"
M2,WERM,9.5,27,0.0010526315789473684,ok,2,"758,1331","760,1330"
M2,WERM,9.5,28,0.0005263157894736842,ok,2,"761,1330","760,1330"
M2,WERM,9.5,29,0.003157894736842105,ok,2,"766,1324","760,1330"
